,model,R2
1,A,0.05749821112063369
1.1,A,0.0245570438695073
1.10,A,0.020609261682651203
1.2,,0.007691433441240347
1.3,A,0.016831632481367986
1.4,A,9.33944790770802e-06
1.5,A,-4.7222158849891116e-08
1.6,A,-1.1913720507461534e-05
1.7,A,-1.6229117960397943e-05
1.8,A,-1.845951434109594e-05
1.9,AAd,0.0344471625916174
2,AAd,-0.426197839787797
2.1,AAd,-0.0003970662474983566
2.10,,0.16373023352233873
2.11,AAd,0.1776623668575099
2.12,AAd,0.18179099112875408
2.13,AAd,0.15317731956667158
2.14,AAd,-0.016734695658475962
2.15,AAd,-0.03138005075098915
2.16,AAd,-0.07808520691796472
2.17,AAd,-0.21887195513926017
2.18,A,0.009081411473847223
2.2,AAd,-0.18252545085208816
2.3,A,-0.8907254726115166
2.4,AAd,-0.06812950809917528
2.5,AAd,-0.027145012324965467
2.6,A,-0.1259640636712469
2.7,AAd,-0.09794374700052
2.8,AAd,0.028096414946599202
2.9,AAd,0.2998076079799824
4,AAd,0.08842856294713575
4.1,AAd,0.3172740379828849
4.2,A,0.21568487939163816
4.3,AAd,0.08955693493597217
4.4,AAd,0.16425281785385504
4.5,AAd,0.02276985755827532
4.6,A,0.2268213366169416
4.7,A,0.09053767182070926
4.8,AAd,0.06846539907809035
4.9,A,0.037601826241666414
5,AA,0.1070003076922319
5.1,AA,0.03287214031518515
5.10,AA,-0.06191743370487157
5.11,AAd,-0.5939751094732473
5.12,AAd,-0.24340622051271743
5.13,AAd,-0.6158935516665267
5.14,AAd,-0.10272730536982944
5.15,AAd,-0.7140895565180383
5.16,AA,0.1573341359073821
5.17,A,-0.026688007930326885
5.18,AA,-0.022321571641708893
5.19,AA,-2.931062619323002
5.2,AA,-2.1316308315985717
5.20,A,-3.559374376083605
5.21,A,-2.0737473857115916
5.22,AAd,-1.227028747437529
5.23,A,-1.460382136886039
5.24,AAd,0.255418317276193
5.25,A,-2.2686709563844447
5.26,AA,-3.940556661023483
5.27,AAd,-0.4045313575630183
5.28,AAd,0.1049656756462054
5.29,AAd,0.018182758670788668
5.3,AA,-0.322373614082583
5.30,AAd,-0.329175500609749
5.31,AAd,-0.1091158824476619
5.32,AAd,-0.7115892251496754
5.33,AA,-3.8073431186215094
5.34,AA,-2.437097627738358
5.35,AAd,-0.5721813084379141
5.36,AA,-1.5740838331357958
5.37,AAd,-0.13450517535300133
5.38,AA,-0.19197755024898489
5.39,AAd,-0.2374220748009528
5.4,AA,-0.6575050934252342
5.40,A,-0.021663410306837383
5.41,A,0.14958403617754945
5.42,AAd,0.5364961114818587
5.43,AAd,0.46909911942992266
5.44,AAd,-0.02993798128127545
5.45,AA,0.033306349977261895
5.46,AA,0.0555888316854517
5.47,AAd,-0.07413228957832008
5.48,AAd,-0.010430996185735841
5.49,AAd,-0.09990129001360737
5.5,AAd,-0.5538609146716997
5.50,AAd,-0.05566504897322111
5.51,AAd,0.02472646113791377
5.52,AAd,-0.04655334057804206
5.6,AA,-0.5577232370932428
5.7,AA,-0.43252685893012943
5.8,AA,-0.17574793730892568
5.9,A,-0.30396718965763214
6,AA,-3.1232343400184552
6.1,AAd,0.22928639275541707
6.10,AAd,-0.016917531948572373
6.11,AAd,-0.1675144523532779
6.12,AAd,0.023654816263963485
6.13,AAd,0.027936579092834535
6.14,AA,-0.0827188975323141
6.15,AAd,-0.34638730311215404
6.16,AA,0.7340970679022107
6.17,AAd,-0.2536508597794793
6.18,AAd,-0.12424753555008694
6.19,AA,0.8320591388173098
6.2,AAd,-0.3899669308332172
6.20,AAd,-0.06470647446658373
6.21,AAd,-0.16759993337426238
6.22,AAd,-0.0224250808414177
6.23,AAd,0.2172956425412318
6.24,AA,0.3909350001860187
6.25,AAd,-0.2810558028760599
6.26,AA,0.8574184579775218
6.27,AA,0.8152245890003539
6.28,AA,0.5764979032207408
6.29,AA,0.774587099017616
6.3,AAd,-0.4474834644254104
6.30,AAd,-0.13176412901894152
6.31,AA,-0.7555579597094169
6.32,AA,0.6366566634528346
6.4,AAd,-0.6880099066192591
6.5,AAd,0.2475806797472394
6.6,AA,0.4920145253344024
6.7,AAd,-0.0730691376159327
6.8,AAd,-0.10024691552526299
6.9,AAd,0.08609505782588567
7,AAd,-0.25696634627861226
